invoice_id,vendor_name,issue_date,due_date,amount,currency,status
APb58e0f69,Bolton Ltd,2024-10-28,2024-11-27,1474.89,USD,Unpaid
AP5e98e905,"Campbell, Koch and Hanson",2024-10-22,2024-11-21,901.77,USD,Paid
AP1601971f,Mcclure-Lucas,2024-01-12,2024-02-11,13573.67,USD,Unpaid
APdf88a659,Shelton-Beltran,2024-05-08,2024-06-07,9200.61,USD,Paid
APa79c1d31,"Johnson, Weaver and Walsh",2024-04-15,2024-05-15,18296.32,USD,Paid
APd39eb9f4,Sampson Group,2024-06-12,2024-07-12,5669.0,USD,Overdue
AP5dc5769d,"Coleman, Cohen and Brown",2024-03-27,2024-04-26,9368.41,USD,Paid
APb2814d83,"Marsh, Lee and Medina",2024-02-22,2024-03-23,13757.94,USD,Unpaid
AP2beb5edb,"Wilson, Sullivan and Dunn",2024-03-10,2024-04-09,11256.75,USD,Overdue
APbc52dca9,Morgan-Hayes,2024-09-08,2024-10-08,13018.62,USD,Overdue
APf7b36734,Romero Inc,2024-07-19,2024-08-18,8689.36,USD,Paid
AP85796ba8,"Dickson, Jacobs and Russell",2024-06-04,2024-07-04,2505.3,USD,Overdue
APcb3c487f,Austin-Patel,2024-08-17,2024-09-16,2262.02,USD,Paid
AP40a195bf,Carter and Sons,2024-11-23,2024-12-23,7210.0,USD,Unpaid
AP4875aeb2,David Ltd,2024-03-03,2024-04-02,18839.8,USD,Overdue
APd5ab6670,Holder LLC,2024-10-12,2024-11-11,11729.47,USD,Paid
AP8a4580e5,Lopez-Duncan,2024-04-04,2024-05-04,15662.34,USD,Overdue
AP7ee801e8,Brown Group,2024-02-13,2024-03-14,10355.51,USD,Paid
AP0eb27ce9,Poole PLC,2024-02-19,2024-03-20,12933.14,USD,Overdue
AP834930f4,Delacruz-Tucker,2024-03-26,2024-04-25,8747.25,USD,Paid
AP14860bf6,"Miller, Manning and Saunders",2024-09-02,2024-10-02,19913.32,USD,Paid
AP5a13864e,Robinson-Brown,2024-01-02,2024-02-01,2371.3,USD,Paid
AP9e16521d,Roberts-Vasquez,2024-03-15,2024-04-14,8590.88,USD,Unpaid
AP9bbfdb1e,Rhodes LLC,2024-06-23,2024-07-23,8315.42,USD,Paid
AP50ed5393,"Rodriguez, Sims and Archer",2024-04-21,2024-05-21,8773.84,USD,Unpaid
APe7368372,Nichols and Sons,2024-07-28,2024-08-27,12229.91,USD,Overdue
APc9fc8973,Bishop-Willis,2024-04-27,2024-05-27,4237.21,USD,Unpaid
AP035009ce,"Bell, Adams and Hernandez",2024-01-22,2024-02-21,12072.94,USD,Paid
APda51d2af,Hernandez LLC,2023-12-17,2024-01-16,17203.88,USD,Overdue
AP1af9b0f7,"Villanueva, Robinson and Wagner",2024-04-16,2024-05-16,14716.11,USD,Overdue
AP9413e696,"Price, Bailey and Camacho",2024-01-10,2024-02-09,6415.73,USD,Paid
AP097954a7,"Figueroa, Gordon and Willis",2024-05-30,2024-06-29,3232.49,USD,Overdue
APee67f6a1,Schroeder PLC,2024-10-07,2024-11-06,2332.38,USD,Unpaid
AP213ed9f9,Smith-Ortega,2024-07-15,2024-08-14,19640.02,USD,Overdue
AP585bc3b3,"Hansen, Garcia and Miller",2024-04-08,2024-05-08,16486.03,USD,Unpaid
APe50719e5,Patel-Wong,2024-06-08,2024-07-08,3540.08,USD,Paid
APcf71931a,Thompson-Schneider,2024-08-15,2024-09-14,12500.97,USD,Overdue
APf53a58dd,"Matthews, Meyer and Harrison",2024-04-19,2024-05-19,10263.95,USD,Paid
APc6f7b176,Conley Ltd,2023-11-30,2023-12-30,10853.91,USD,Paid
AP34f9ade3,Blake-Stevens,2024-06-23,2024-07-23,13870.61,USD,Paid
AP56dc950d,Williams-Moses,2024-02-08,2024-03-09,14265.47,USD,Paid
APa9315ccd,Ferrell-Eaton,2024-08-03,2024-09-02,1794.45,USD,Paid
AP9a29f83c,"Hernandez, Vargas and Lowe",2024-11-24,2024-12-24,1466.02,USD,Unpaid
AP94c42f63,"Parks, Martin and Johnson",2024-10-08,2024-11-07,13648.84,USD,Unpaid
AP948ace59,"Gomez, Rogers and Bailey",2024-11-22,2024-12-22,6921.41,USD,Unpaid
AP6a0a885a,Huff Ltd,2024-06-05,2024-07-05,18431.15,USD,Overdue
AP79d4ef7e,"Joyce, Lane and Beasley",2024-07-09,2024-08-08,5264.94,USD,Paid
AP38a1aeee,"Joseph, Mcdonald and Torres",2024-04-10,2024-05-10,13330.22,USD,Paid
APf7b23183,"Mendoza, Hopkins and Powers",2024-10-06,2024-11-05,1047.99,USD,Paid
APcbea53db,"Ball, Camacho and Durham",2024-07-25,2024-08-24,7284.29,USD,Unpaid
APef4c5181,Williams-Frank,2024-09-21,2024-10-21,8076.75,USD,Paid
AP66f1f854,Gibbs Ltd,2024-11-03,2024-12-03,2992.85,USD,Unpaid
APa5e4a921,Peterson Group,2024-02-25,2024-03-26,9353.16,USD,Overdue
